Date,Plant_ID,Plant_ID_lf,date,Plant_ID_lic,Reason
3/28/24,H3.AMSMEN.1,H3.AMSMEN.1,NA,NA,no licor
3/28/24,E2.AMSMEN.1,E2.AMSMEN.1,NA,NA,no licor
3/28/24,I3.AMSMEN.1,I3.AMSMEN.1,NA,NA,no licor
4/1/24,A2.EROCIC.1,A2.EROCIC.1,NA,NA,no licor
4/1/24,A2.EROCIC.2,A2.EROCIC.2,NA,NA,no licor
4/1/24,B6.EROCIC.1,B6.EROCIC.1,NA,NA,no licor
4/1/24,C6.EROCIC.1,C6.EROCIC.1,NA,NA,no licor
4/23/24,B7.GERDIS.3,B7.GERDIS.3,NA,NA,changed licor record .3
4/23/24,D6.GERDIS.1,D6.GERDIS.1,NA,NA,changed licor record to 0.1
4/23/24,E8.GERDIS.1,E8.GERDIS.1,NA,NA,no licor
4/23/24,F3.GERDIS.2,F3.GERDIS.2,NA,NA,changed licor to 0.2
4/23/24,J1.GERDIS.2,J1.GERDIS.2,NA,NA,changed licor to 0.2
4/24/24,A5.LUPBIC.1-A8,A5.LUPBIC.1-A8,NA,NA,no licor
4/24/24,A5.PLAERE.2,A5.PLAERE.2,NA,NA,no licor
4/24/24,H7.PLAERE.1,H7.PLAERE.1,NA,NA,changed licor to 0.1
4/25/24,E4.LUPMIC.1-D3,E4.LUPMIC.1-D3,NA,NA,changed licor record to refelct correct ID
4/25/24,F7.LUPMIC.1-D5,F7.LUPMIC.1-D5,NA,NA,changed licor record to refelct correct ID
4/25/24,G4.LUPMIC.1-D5,G4.LUPMIC.1-D5,NA,NA,changed licor record to refelct correct ID
4/25/24,B2.BR0MAD.2,B2.BR0MAD.2,NA,NA,no licor
4/26/24,D5.BROMAD.1,D5.BROMAD.1,NA,NA,no licor
4/26/24,D3.BROMAD.2,D3.BROMAD.2,NA,NA,no licor
4/26/24,D5.BROMAD.1,D5.BROMAD.1,NA,NA,"copy, deleted"
4/26/24,E2.BROMAD.2,E2.BROMAD.2,NA,NA,no licor
4/26/24,D4.BROMAD.2,D4.BROMAD.2,NA,NA,no licor
4/26/24,D7.BROMAD.2,D7.BROMAD.2,NA,NA,no licor
4/26/24,D8.BROMAD.1,D8.BROMAD.1,NA,NA,no licor
4/26/24,E4.BROMAD.2,E4.BROMAD.2,NA,NA,no licor
4/26/24,E5.BROMAD.1,E5.BROMAD.1,NA,NA,no licor
4/26/24,E6.BROMAD.2,E6.BROMAD.2,NA,NA,no licor
4/26/24,E7.BROMAD.2,E7.BROMAD.2,NA,NA,no licor
4/26/24,H1.BROMAD.2,H1.BROMAD.2,NA,NA,no licor
4/26/24,H4.BROMAD.2,H4.BROMAD.2,NA,NA,no licor
4/26/24,I2.BROMAD.1,I2.BROMAD.1,NA,NA,no licor
4/26/24,I3.BROMAD.2,I3.BROMAD.2,NA,NA,no licor
4/26/24,I7.BROMAD.1,I7.BROMAD.1,NA,NA,no licor
4/26/24,J3.BROMAD.2,J3.BROMAD.2,NA,NA,no licor
4/26/24,J4.BROMAD.2,J4.BROMAD.2,NA,NA,no licor
4/26/24,J5.BROMAD.2,J5.BROMAD.2,NA,NA,no licor
4/26/24,J6.BROMAD.1,J6.BROMAD.1,NA,NA,no licor
4/26/24,J7.BROMAD.2,J7.BROMAD.2,NA,NA,no licor
4/26/24,J8.BROMAD.2,J8.BROMAD.2,NA,NA,no licor
4/27/24,A1.BROHOR.2,A1.BROHOR.2,NA,NA,changed licor record to 0.2
4/27/24,A3.BROHOR.2,A3.BROHOR.2,NA,NA,changed licor record to 0.2
4/27/24,F1.BROHOR.2,F1.BROHOR.2,NA,NA,changed licor record to 0.2
4/27/24,F3.BROHOR.2,F3.BROHOR.2,NA,NA,changed licor record to 0.2
4/27/24,A6.MICCAL.1,A6.MICCAL.1,NA,NA,changed licor record to 0.1
4/27/24,F4.MICCAL.1,F4.MICCAL.1,NA,NA,changed licor record to 0.1
4/29/24,I7.MICCAL.1-C1,I7.MICCAL.1-C1,NA,NA,fixed licor record that had xx
4/29/24,A7.MICCAL.2,A7.MICCAL.2,NA,NA,no licor
4/29/24,C2.MICCAL.3,C2.MICCAL.3,NA,NA,no licor
4/29/24,H4.MICCAL.1,H4.MICCAL.1,NA,NA,changed licor record to 0.1
4/29/24,B4.PLANOT.1,B4.PLANOT.1,NA,NA,no licor
5/1/24,23.I6.ESCCAL.1-J2,23.I6.ESCCAL.1-J2,NA,NA,added 23. to licor data
5/1/24,A3.VICSAT.1,A3.VICSAT.1,NA,NA,added b1 to plot replace
5/1/24,B7.IVCAST.1,B7.IVCAST.1,NA,NA,corrected leaf licor area file
5/1/24,C5.VICSAT.1,C5.VICSAT.1,NA,NA,added I1 to plot replace
5/2/24,23.A1.ESCCAL.1,23.A1.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.A6.ESCCAL.1,23.A6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.B3.ESCCAL.1,23.B3.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.B4.ESCCAL.1,23.B4.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.B6.ESCCAL.1,23.B6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.C2.ESCCAL.1,23.C2.ESCCAL.1,NA,NA,Cannot determine if C2 licor data is 24. or 23.
5/2/24,23.C3.ESCCAL.1,23.C3.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.C8.ESCCAL.1,23.C8.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.D1.ESCCAL.1,23.D1.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.D7.ESCCAL.1,23.D7.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.D8.ESCCAL.1,23.D8.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.E1.ESCCAL.1,23.E1.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.E3.ESCCAL.1,23.E3.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.E5.ESCCAL.1,23.E5.ESCCAL.1,NA,NA,Cannot determine if E5 licor data is 24. or 23.
5/2/24,23.E6.ESCCAL.1,23.E6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.F1.ESCCAL.1,23.F1.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.F6.ESCCAL.1,23.F6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.G3.ESCCAL.1,23.G3.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.G6.ESCCAL.1,23.G6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.G7.ESCCAL.1,23.G7.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.H1.ESCCAL.1,23.H1.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.H2.ESCCAL.1,23.H2.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.H6.ESCCAL.1,23.H6.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.H8.ESCCAL.1,23.H8.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.I2.ESCCAL.1,23.I2.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.I5.ESCCAL.1,23.I5.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.J2.ESCCAL.1,23.J2.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.J5.ESCCAL.1,23.J5.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,23.J8.ESCCAL.1,23.J8.ESCCAL.1,NA,NA,added 23. to licor date
5/2/24,J8.ESCCAL.1,J8.ESCCAL.1,NA,NA,no licor
5/3/24,B3.AVEFAT.1-A6,B3.AVEFAT.1-A6,NA,NA,no licor
5/3/24,C3.BROHOR.1,C3.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,D2.BROHOR.1,D2.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,D6.BROHOR.1,D6.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,D8.BROHOR.1,D8.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,E3.BROHOR.1,E3.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,H2.BROHOR.1,H2.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,H5.BROHOR.1,H5.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,H6.BROHOR.1,H6.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,H8.BROHOR.1,H8.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,I4.BROHOR.1,I4.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,J1.BROHOR.1,J1.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,J2.BROHOR.1,J2.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,J3.BROHOR.1,J3.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,J8.BROHOR.1,J8.BROHOR.1,NA,NA,changed licor record to 0.1
5/3/24,F5.ELYCAP.2,F5.ELYCAP.2,NA,NA,"accidentally input ""avebar"" so changed to elycap"
5/3/24,A6.AVEFAT.1,A6.AVEFAT.1,NA,NA,no licor
5/5/24,B4.AIRCAR.1-I8,B4.AIRCAR.1-I8,NA,NA,changed licor record to 0.1
5/5/24,I6.AIRCAR.2,I6.AIRCAR.2,NA,NA,changed licor record to 0.1
5/5/24,E1.AVEBAR.1,E1.AVEBAR.1,NA,NA,changed licor record to 0.1
5/5/24,H5.AVEBAR.1,H5.AVEBAR.1,NA,NA,added e8 to plot replace
5/5/24,I4.AVEBAR.1,I4.AVEBAR.1,NA,NA,added i1 to plot replace
5/5/24,B2.ELYCAP.2,B2.ELYCAP.2,NA,NA,changed licor to 0.2
5/5/24,C1.ELYCAP.1,C1.ELYCAP.1,NA,NA,changed licor to 0.1
5/5/24,G2.ELYCAP.1,G2.ELYCAP.1,NA,NA,changed licor to 0.1
5/5/24,J3.ELYCAP.1,J3.ELYCAP.1,NA,NA,accidentally input as j4
5/6/24,I6.BRODIA.1-J2,I6.BRODIA.1-J2,NA,NA,updated licor record with i6
5/6/24,A4.AVEBAR.2,A4.AVEBAR.2,NA,NA,no licor
5/6/24,B1.BRODIA.2,B1.BRODIA.2,NA,NA,no licor
5/6/24,B2.BRODIA.2,B2.BRODIA.2,NA,NA,changed licor record to 0.2
5/6/24,F1.BRODIA.2,F1.BRODIA.2,NA,NA,changed licor record to 0.2
5/6/24,F6.BRODIA.1,F6.BRODIA.1,NA,NA,no licor
5/6/24,J2.BRODIA.2,J2.BRODIA.2,NA,NA,no licor
5/6/24,J4.BRODIA.2,J4.BRODIA.2,NA,NA,changed licor record to 0.2
5/7/24,B4.CLAPUR.2-C8,B4.CLAPUR.2-C8,NA,NA,added -c8 to licor record
5/7/24,E8.CLAPUR.2,E8.CLAPUR.2,NA,NA,no licor
5/7/24,A3.TORARV.2,A3.TORARV.2,NA,NA,licor record missing period
5/9/24,B3.CENMEL.2,B3.CENMEL.2,NA,NA,second b6 record is b3
5/9/24,C4.DAUPUS.2,C4.DAUPUS.2,NA,NA,changed licor record to 0.2
5/9/24,F3.DAUPUS.1,F3.DAUPUS.1,NA,NA,changed licor record to 0.1
5/9/24,G1.DAUPUS.1,G1.DAUPUS.1,NA,NA,changed licor record to 0.1
5/9/24,H6.DAUPUS.1,H6.DAUPUS.1,NA,NA,changed licor record to 0.1
5/9/24,C8.HYPGLA.1,C8.HYPGLA.1,NA,NA,changed licor record to 0.1
5/9/24,G6.HYPGLA.1,G6.HYPGLA.1,NA,NA,changed licor record to 0.1
5/9/24,H2.HYPGLA.1,H2.HYPGLA.1,NA,NA,changed licor record to 0.1
5/9/24,J2.HYPGLA.1,J2.HYPGLA.1,NA,NA,no licor
5/10/24,D6.MADGRA.1,D6.MADGRA.1,NA,NA,changed licor record to 0.1
5/11/24,F8.MADGRA.2,F8.MADGRA.2,NA,NA,changed licor record to 0.2
5/13/24,C2.STIPUL.2-J8,C2.STIPUL.2-J8,NA,NA,no licor
5/13/24,23.I6.STIPUL.1,23.I6.STIPUL.1,NA,NA,no licor
5/13/24,23.J8.STIPUL.1,23.J8.STIPUL.1,NA,NA,changed licor record to 0.1
5/13/24,D7.STIPUL.1,D7.STIPUL.1,NA,NA,no licor
5/13/24,E5.BROHOR.1,E5.BROHOR.1,NA,NA,
5/13/24,G8.DAUPUS.1,G8.DAUPUS.1,NA,NA,changed licor record to 0.1
5/13/24,A1.MADGRA.1,A1.MADGRA.1,NA,NA,no licor
5/13/24,B4.MADGRA.1,B4.MADGRA.1,NA,NA,changed licor record to 0.1
5/13/24,B7.MADGRA.1,B7.MADGRA.1,NA,NA,changed licor record to 0.1
5/13/24,G8.MADGRA.1,G8.MADGRA.1,NA,NA,changed licor record to 0.1
5/13/24,E5.STIPUL.1,E5.STIPUL.1,NA,NA,changed licor record to 0.1
5/13/24,G3.STIPUL.1,G3.STIPUL.1,NA,NA,changed licor record to 0.1
5/13/24,J8.STIPUL.1,J8.STIPUL.1,NA,NA,no licor
5/15/24,D4.HOLVIR.1,D4.HOLVIR.1,NA,NA,changed licor record to 0.1
5/18/24,B3.CORFIL.1-A7,B3.CORFIL.1-A7,NA,NA,changed licor record to 0.1
5/18/24,C2.CORFIL.1-A7,C2.CORFIL.1-A7,NA,NA,replaced xx with c2 in licor record
5/18/24,H1.CORFIL.1-H8,H1.CORFIL.1-H8,NA,NA,changed licor record to 0.1
5/18/24,H8.CORFIL.1-G3,H8.CORFIL.1-G3,NA,NA,changed licor record to 0.1
5/18/24,23.A6.CORFIL.1,23.A6.CORFIL.1,NA,NA,changed licor record to 0.1
5/18/24,23.F2.MIRMUL.1,23.F2.MIRMUL.1,NA,NA,added 23. to licor record
5/18/24,A6.CORFIL.1,A6.CORFIL.1,NA,NA,changed licor record to 0.1
